time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-14T14:08:17.660Z,10.961,-86.2473,52.33,5.1,mb,,182,0.977,1.4,us,us100028yd,2015-05-14T22:48:29.512Z,"52km SW of San Juan del Sur, Nicaragua",earthquake
2015-05-14T13:34:39.230Z,-7.4906,154.655,45.77,5.3,mb,,116,4.109,0.91,us,us100028yb,2015-05-14T21:37:12.107Z,"158km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T12:53:57.400Z,-7.4151,154.6308,42.93,4.9,mb,,90,4.035,0.97,us,us100028y8,2015-05-14T20:56:26.073Z,"153km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T12:43:59.880Z,-21.4162,-178.2528,500.77,4.6,mb,,100,5.046,1.18,us,us100028y5,2015-05-14T20:46:37.696Z,"96km SSE of Ndoi Island, Fiji",earthquake
2015-05-14T12:30:20.930Z,-7.4449,154.6651,50.36,5.4,mb,,32,4.079,1.3,us,us100028y2,2015-05-14T20:33:14.749Z,"154km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T11:33:11.000Z,52.7109,-168.172,22.5,2.5,ml,,,,0.65,ak,ak11595878,2015-05-14T19:35:40.314Z,"53km ESE of Nikolski, Alaska",earthquake
2015-05-14T11:18:16.000Z,59.7287,-152.4388,100.6,2.5,ml,,,,0.77,ak,ak11595871,2015-05-14T19:20:45.337Z,"34km W of Anchor Point, Alaska",earthquake
2015-05-14T10:57:40.430Z,19.4090004,-155.2756653,0.02,2.66,ml,13,59,0.005807,0.22,hv,hv60930341,2015-05-14T19:00:24.209Z,"4km WSW of Volcano, Hawaii",earthquake
2015-05-14T10:43:44.370Z,-5.1759,151.4118,54.03,4.9,mb,,135,1.232,1.47,us,us100028xk,2015-05-14T18:46:17.421Z,"131km SW of Kokopo, Papua New Guinea",earthquake
2015-05-14T10:04:32.650Z,37.0294,-97.8997,5,3.3,mb_lg,,39,0.088,0.75,us,us100028xh,2015-05-15T13:05:01.574Z,"18km SE of Anthony, Kansas",earthquake
2015-05-14T08:38:56.970Z,30.6328,142.0235,27.95,4.8,mb,,67,3.107,0.79,us,us100028x9,2015-05-14T16:41:31.121Z,"Izu Islands, Japan region",earthquake
2015-05-14T08:04:24.710Z,32.9695,-115.5471667,13.55,2.73,ml,35,76,0.06879,0.3,ci,ci37380200,2015-05-14T20:49:50.542Z,"2km WSW of Brawley, California",earthquake
2015-05-14T08:03:20.990Z,-7.0856,154.4743,56.38,4.9,mb,,52,3.681,1.04,us,us100028x1,2015-05-14T16:05:55.606Z,"140km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T07:31:07.800Z,18.9213,-64.207,34,3.4,Md,14,324,0.22457882,0.05,pr,pr15134003,2015-05-14T15:33:45.583Z,"70km NE of Road Town, British Virgin Islands",earthquake
